Resolution,1920,1080,Distance,57,Width,47.8,Subject,ACT-05208452X,Test,CC9-04202018-132722,Calibration,CC9-04202018-132722
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
1225,-21.8967,12.7216,-22.3212,12.7959,-0.335266,-1.52106,0.424554,-0.0743284,13593.6,-21.8164,12.7421,0
1233,-21.891,12.7517,-22.3212,12.7959,0.714048,3.75774,0.430266,-0.0442665,13590.8,-21.8686,12.8591,0
1245,-21.8982,12.7537,-22.3212,12.7959,-0.604501,0.170383,0.423012,-0.0422219,13585.9,-21.9697,12.6638,0
1257,-21.9281,12.756,-22.3212,12.7959,-2.49114,0.189136,0.393118,-0.0399523,13579.1,-21.889,12.8332,0
1268,-21.9655,12.7484,-22.3212,12.7959,-3.4028,-0.693272,0.355688,-0.0475783,13572,-22.0737,12.6909,0
1279,-21.9831,12.735,-22.3212,12.7959,-1.59608,-1.21227,0.338131,-0.0609132,13566.5,-21.9981,12.7948,0
1286,-21.9977,12.7356,-22.3212,12.7959,-2.09244,0.0796669,0.323484,-0.0603555,13563.3,-21.9564,12.7363,0
1298,-22.0125,12.7317,-22.3212,12.7959,-1.22688,-0.322163,0.308761,-0.0642215,13561.7,-22.0166,12.7258,0
1305,-22.0219,12.6872,-22.3212,12.7959,-1.35208,-6.3534,0.299296,-0.108695,13560,-22.0505,12.5599,0
1317,-22.0345,12.6235,-22.3212,12.7959,-1.04962,-5.31549,0.286701,-0.172481,13557.9,-22.3425,12.4576,0
1325,-22.0347,12.6064,-22.3212,12.7959,-0.0228895,-2.12834,0.286518,-0.189508,13557,-22.0318,12.5342,0
1337,-22.0265,12.6012,-22.3212,12.7959,0.683933,-0.438558,0.294725,-0.194771,13558.3,-22.024,12.5986,0
1345,-22.0127,12.5773,-22.3212,12.7959,1.73153,-2.98289,0.308577,-0.218634,13561,-21.9918,12.6083,0
1359,-22.0119,12.5762,-22.3212,12.7959,0.0543361,-0.0755176,0.309338,-0.219691,13563.6,-21.9656,12.6888,0
1366,-22.0086,12.5734,-22.3212,12.7959,0.469345,-0.413712,0.312623,-0.222587,13565.6,-21.9622,12.5504,0
1378,-22.0206,12.5134,-22.3212,12.7959,-1.00325,-4.99399,0.300584,-0.282515,13567.4,-22.0626,12.4737,0
1389,-22.0364,12.467,-22.3212,12.7959,-1.43494,-4.22134,0.2848,-0.328949,13568.8,-22.0661,12.3924,0
1397,-22.0383,12.4592,-22.3212,12.7959,-0.230474,-0.97896,0.282956,-0.336781,13569.5,-22.0312,12.4468,0
1405,-22.0381,12.4589,-22.3212,12.7959,0.0279397,-0.0356904,0.28318,-0.337067,13569.3,-22.0582,12.4602,0
1418,-22.0313,12.4594,-22.3212,12.7959,0.520957,0.0399771,0.289952,-0.336547,13568.8,-22.0509,12.4177,0
1426,-22.0189,12.4858,-22.3212,12.7959,1.54646,3.29933,0.302324,-0.310152,13568.6,-22.0005,12.5257,0
1438,-22.0059,12.52,-22.3212,12.7959,1.08722,2.85339,0.31537,-0.275912,13568.7,-22.1134,12.5102,0
1449,-21.9858,12.5604,-22.3212,12.7959,1.82025,3.67058,0.335393,-0.235535,13569.7,-21.9163,12.6144,0
1457,-21.9629,12.5938,-22.3212,12.7959,2.86693,4.17937,0.358329,-0.2021,13575.6,-21.961,12.5708,0
1465,-21.9479,12.6054,-22.3212,12.7959,1.87328,1.44552,0.373315,-0.190536,13600.1,-21.9014,12.6634,0
1478,-21.7313,12.6317,-22.3212,12.7959,16.6611,2.022,0.589909,-0.16425,13665,-22.2079,12.5711,0
1486,-16.8015,13.0373,0,12.7959,616.224,50.6988,-16.8015,0.24134,13768.6,-0.554551,13.1089,0
1496,-9.06819,13.3987,0,12.7959,773.335,36.1385,-9.06819,0.602725,13864.8,-0.558052,13.0118,0
